get_acne,red,black,white,green,yellow,brown,orange,pink,purple
true,false,false,false,true,false,false,true,false,false
true,false,true,false,true,true,false,false,false,false
false,false,false,false,true,false,false,false,true,false
false,false,false,false,false,true,false,false,false,false
false,false,false,false,false,true,false,false,true,false
true,false,true,false,false,false,false,true,true,false
false,false,true,false,false,false,false,false,true,false
true,false,false,false,false,false,true,true,false,false
true,false,false,false,false,false,false,true,false,false
false,true,false,false,false,true,true,false,true,false
